Time,Open,High,Low,Close,Volume
2022-05-27 12:00:00+00:00,12.729,12.83,12.72,12.761,25014
2022-05-30 04:00:00+00:00,12.88,12.889,12.79,12.811,15180
2022-05-30 08:00:00+00:00,12.811,12.832,12.621,12.699,27856
2022-05-30 12:00:00+00:00,12.717,12.75,12.61,12.75,48106
2022-05-31 04:00:00+00:00,12.622,12.727,12.621,12.66,22221
2022-05-31 08:00:00+00:00,12.66,12.86,12.66,12.824,51431
2022-05-31 12:00:00+00:00,12.821,12.959,12.763,12.959,43430
2022-06-01 04:00:00+00:00,12.85,13.15,12.71,13.005,32511
2022-06-01 08:00:00+00:00,13.001,13.065,12.911,13.014,33785
2022-06-01 12:00:00+00:00,13.002,13.19,12.915,13.19,46415
2022-06-02 04:00:00+00:00,13.19,13.19,12.916,12.969,21971
2022-06-02 08:00:00+00:00,12.962,12.99,12.813,12.843,26437
2022-06-02 12:00:00+00:00,12.845,12.895,12.801,12.826,26079
2022-06-03 04:00:00+00:00,12.921,12.926,12.6,12.609,20915
2022-06-03 08:00:00+00:00,12.609,12.691,12.5,12.572,44783
2022-06-03 12:00:00+00:00,12.565,12.843,12.426,12.843,35151
2022-06-06 04:00:00+00:00,12.777,12.818999999999999,12.552,12.722,24186
2022-06-06 08:00:00+00:00,12.723,12.723,12.48,12.573,30617
2022-06-06 12:00:00+00:00,12.574,12.574,12.451,12.54,23714
2022-06-07 04:00:00+00:00,12.47,12.504,12.112,12.167,42966
2022-06-07 08:00:00+00:00,12.167,12.347,12.08,12.339,69098
2022-06-07 12:00:00+00:00,12.347,12.47,12.271,12.47,51886
2022-06-08 04:00:00+00:00,12.496,12.699,12.458,12.648,28720
2022-06-08 08:00:00+00:00,12.648,12.685,12.555,12.617,64046
2022-06-08 12:00:00+00:00,12.605,12.646,12.553,12.565,27089
2022-06-09 04:00:00+00:00,12.67,12.939,12.424,12.55,104311
2022-06-09 08:00:00+00:00,12.549,12.558,12.35,12.381,62300
2022-06-09 12:00:00+00:00,12.381,12.406,12.302,12.302,34841
2022-06-10 04:00:00+00:00,12.345,12.385,12.224,12.336,15528
2022-06-10 08:00:00+00:00,12.336,12.6,12.32,12.437,195284
2022-06-10 12:00:00+00:00,12.437,12.478,12.25,12.45,70090
2022-06-14 04:00:00+00:00,12.38,12.395,12.25,12.295,23698
2022-06-14 08:00:00+00:00,12.294,12.444,12.263,12.349,39472
2022-06-14 12:00:00+00:00,12.35,12.55,12.276,12.55,37209
2022-06-15 04:00:00+00:00,12.499,12.522,12.362,12.42,15563
2022-06-15 08:00:00+00:00,12.42,12.478,12.371,12.41,54859
2022-06-15 12:00:00+00:00,12.405,12.511,12.39,12.461,51105
2022-06-16 04:00:00+00:00,12.51,12.607,12.441,12.517,51088
2022-06-16 08:00:00+00:00,12.517,12.62,12.493,12.596,97687
2022-06-16 12:00:00+00:00,12.596,12.748,12.534,12.695,91899
2022-06-17 04:00:00+00:00,12.7,12.741,12.64,12.691,19383
2022-06-17 08:00:00+00:00,12.695,12.697,12.543,12.589,39035
2022-06-17 12:00:00+00:00,12.589,12.609,12.508,12.508,32431
2022-06-20 04:00:00+00:00,12.549,12.732,12.522,12.66,34130
2022-06-20 08:00:00+00:00,12.656,13.0,12.63,12.915,221897
2022-06-20 12:00:00+00:00,12.915,12.941,12.8,12.83,97383
2022-06-21 04:00:00+00:00,12.99,12.99,12.8,12.83,54818
2022-06-21 08:00:00+00:00,12.823,12.957,12.76,12.898,98753
2022-06-21 12:00:00+00:00,12.895,12.989,12.862,12.972,78589
2022-06-22 04:00:00+00:00,12.975,13.071,12.625,12.7,49765
2022-06-22 08:00:00+00:00,12.702,12.892,12.62,12.86,102524
2022-06-22 12:00:00+00:00,12.861,12.9,12.68,12.9,81629
2022-06-23 04:00:00+00:00,12.861,13.151,12.799,13.115,60887
2022-06-23 08:00:00+00:00,13.116,13.424,13.006,13.37,283229
2022-06-23 12:00:00+00:00,13.371,13.861,13.371,13.531,298531
2022-06-24 04:00:00+00:00,13.6,13.977,13.583,13.818,106349
2022-06-24 08:00:00+00:00,13.818,14.194,13.701,13.946,338935
2022-06-24 12:00:00+00:00,13.948,14.236,13.93,13.97,131374
2022-06-27 04:00:00+00:00,13.99,14.171,13.801,14.084,60725
2022-06-27 08:00:00+00:00,14.085,14.168,13.718,14.16,131362
2022-06-27 12:00:00+00:00,14.155,14.649000000000001,14.107,14.567,253073
2022-06-28 04:00:00+00:00,14.6,15.288,14.567,15.0,355202
2022-06-28 08:00:00+00:00,15.001,15.17,14.792,14.836,193778
2022-06-28 12:00:00+00:00,14.836,14.935,14.57,14.6,103318
2022-06-29 04:00:00+00:00,14.6,14.695,14.0,14.22,147450
2022-06-29 08:00:00+00:00,14.22,14.68,14.16,14.36,97687
2022-06-29 12:00:00+00:00,14.36,15.149,14.36,14.88,181899
2022-06-30 04:00:00+00:00,14.878,15.045,13.951,14.05,100784
2022-06-30 08:00:00+00:00,14.049,14.774000000000001,13.714,14.67,387800
2022-06-30 12:00:00+00:00,14.69,14.729,14.42,14.5,147951
2022-07-01 04:00:00+00:00,14.31,14.87,14.2,14.755,113509
2022-07-01 08:00:00+00:00,14.759,15.28,14.75,14.99,248306
2022-07-01 12:00:00+00:00,14.99,15.4,14.85,14.85,173241
2022-07-04 04:00:00+00:00,15.0,15.49,14.942,15.175,84385
2022-07-04 08:00:00+00:00,15.175,15.225,14.744,14.753,123100
2022-07-04 12:00:00+00:00,14.747,15.0,14.55,15.0,128737
2022-07-05 04:00:00+00:00,15.1,15.184,14.845,14.861,45478
2022-07-05 08:00:00+00:00,14.861,15.014,14.8,14.974,58145
2022-07-05 12:00:00+00:00,14.954,15.0,14.83,15.0,64210
2022-07-06 04:00:00+00:00,14.95,15.1,14.865,14.972,52095
2022-07-06 08:00:00+00:00,14.982,15.228,14.92,15.173,128211
2022-07-06 12:00:00+00:00,15.159,15.18,15.011,15.163,65878
2022-07-07 04:00:00+00:00,15.165,15.3,14.941,15.091,55220
2022-07-07 08:00:00+00:00,15.106,15.208,15.0,15.054,82266
2022-07-07 12:00:00+00:00,15.054,15.09,14.76,15.051,112764
2022-07-08 04:00:00+00:00,15.0,15.147,14.904,14.912,28829
2022-07-08 08:00:00+00:00,14.912,14.963,14.83,14.903,60519
2022-07-08 12:00:00+00:00,14.908,15.09,14.88,15.044,31595
2022-07-11 04:00:00+00:00,14.925,15.045,14.8,14.958,27135
2022-07-11 08:00:00+00:00,14.958,15.041,14.76,14.847,79201
2022-07-11 12:00:00+00:00,14.847,14.941,14.76,14.8,58611
2022-07-12 04:00:00+00:00,14.350999999999999,14.664,14.04,14.393,187467
2022-07-12 08:00:00+00:00,14.366,14.426,14.128,14.194,113819
2022-07-12 12:00:00+00:00,14.191,14.343,14.05,14.173,63243
2022-07-13 04:00:00+00:00,14.173,14.47,13.75,13.833,81543
2022-07-13 08:00:00+00:00,13.839,13.861,13.456,13.579,152608
2022-07-13 12:00:00+00:00,13.578,13.6,13.301,13.381,89615
2022-07-14 04:00:00+00:00,13.381,13.469,13.1,13.377,52210
2022-07-14 08:00:00+00:00,13.371,13.75,13.052,13.14,114726
2022-07-14 12:00:00+00:00,13.14,13.237,12.9,13.107,83940
2022-07-15 04:00:00+00:00,13.16,13.319,12.953,12.993,31444
2022-07-15 08:00:00+00:00,12.977,13.335,12.922,13.226,79916
2022-07-15 12:00:00+00:00,13.211,13.697,13.16,13.697,86995
2022-07-18 04:00:00+00:00,13.8,13.932,13.651,13.725999999999999,32089
2022-07-18 08:00:00+00:00,13.725999999999999,13.764,13.283,13.66,98343
2022-07-18 12:00:00+00:00,13.66,13.752,13.47,13.47,49015
2022-07-19 04:00:00+00:00,13.48,13.7,13.349,13.371,35036
2022-07-19 08:00:00+00:00,13.334,13.475999999999999,13.314,13.33,54048
2022-07-19 12:00:00+00:00,13.331,13.37,13.0,13.37,94408
2022-07-20 04:00:00+00:00,13.37,13.5,13.196,13.366,36378
2022-07-20 08:00:00+00:00,13.366,13.419,13.15,13.185,54670
2022-07-20 12:00:00+00:00,13.185,13.197,13.1,13.197,34260
2022-07-21 04:00:00+00:00,13.197,13.21,12.9,12.909,31686
2022-07-21 08:00:00+00:00,12.908,13.17,12.761,13.049,79951
2022-07-21 12:00:00+00:00,13.05,13.05,12.8,13.01,48177
2022-07-22 04:00:00+00:00,13.0,13.238,12.936,13.202,29112
2022-07-22 08:00:00+00:00,13.221,13.59,13.112,13.489,72811
2022-07-22 12:00:00+00:00,13.488,13.689,13.44,13.56,75517
2022-07-25 04:00:00+00:00,13.549,13.572,13.462,13.517,22769
2022-07-25 08:00:00+00:00,13.518,13.6,13.41,13.525,51492
2022-07-25 12:00:00+00:00,13.53,14.2,13.52,13.99,125311
2022-07-26 04:00:00+00:00,14.001,14.189,14.0,14.022,54912
2022-07-26 08:00:00+00:00,14.024,14.377,13.857,14.176,128405
2022-07-26 12:00:00+00:00,14.181,14.53,14.132,14.350999999999999,110250
2022-07-27 04:00:00+00:00,14.355,14.52,14.355,14.39,29773
2022-07-27 08:00:00+00:00,14.39,14.42,14.034,14.055,119471
2022-07-27 12:00:00+00:00,14.06,14.229,14.0,14.0,34052
2022-07-28 04:00:00+00:00,14.05,14.242,14.0,14.08,33386
2022-07-28 08:00:00+00:00,14.08,14.08,13.751,13.938,63495
2022-07-28 12:00:00+00:00,13.94,13.94,13.782,13.91,41761
2022-07-29 04:00:00+00:00,13.91,14.093,13.815,14.048,45694
2022-07-29 08:00:00+00:00,14.044,14.4,14.043,14.361,238985
2022-07-29 12:00:00+00:00,14.35,14.766,14.313,14.766,204324
2022-08-01 04:00:00+00:00,14.749,14.779,14.323,14.412,86779
2022-08-01 08:00:00+00:00,14.412,14.413,14.155,14.365,101006
2022-08-01 12:00:00+00:00,14.363,14.372,14.17,14.17,52565
2022-08-02 04:00:00+00:00,14.067,14.093,13.771,13.9,63799
2022-08-02 08:00:00+00:00,13.896,14.078,13.86,13.904,62906
2022-08-02 12:00:00+00:00,13.904,13.992,13.76,13.76,42282
2022-08-03 04:00:00+00:00,13.76,14.094,13.51,13.936,73531
2022-08-03 08:00:00+00:00,13.936,14.1,13.653,13.928,88287
2022-08-03 12:00:00+00:00,13.927,14.019,13.779,13.779,61946
2022-08-04 04:00:00+00:00,13.78,14.342,13.78,14.201,165281
2022-08-04 08:00:00+00:00,14.201,14.32,14.12,14.251,152662
2022-08-04 12:00:00+00:00,14.26,14.47,14.22,14.225,121319
2022-08-05 04:00:00+00:00,14.275,14.366,13.86,13.86,79977
2022-08-05 08:00:00+00:00,13.875,13.985,13.501,13.835,142351
2022-08-05 12:00:00+00:00,13.825,13.871,13.706,13.733,40558
2022-08-08 04:00:00+00:00,14.081,14.278,13.924,14.137,70577
2022-08-08 08:00:00+00:00,14.126,14.144,13.88,14.046,50635
2022-08-08 12:00:00+00:00,14.045,14.05,13.775,13.775,44093
2022-08-09 04:00:00+00:00,13.812,13.967,13.812,13.858,17617
2022-08-09 08:00:00+00:00,13.846,13.964,13.762,13.926,48697
2022-08-09 12:00:00+00:00,13.927,14.1,13.841,14.1,47557
2022-08-10 04:00:00+00:00,14.0,14.214,13.917,14.16,61595
2022-08-10 08:00:00+00:00,14.159,14.33,14.145,14.25,96063
2022-08-10 12:00:00+00:00,14.248,14.367,14.158,14.3,69007
2022-08-11 04:00:00+00:00,14.35,14.65,14.315,14.525,80903
2022-08-11 08:00:00+00:00,14.515,14.58,14.357,14.533,78226
2022-08-11 12:00:00+00:00,14.533,14.534,14.04,14.29,91769
2022-08-12 04:00:00+00:00,14.349,14.5,14.105,14.423,40961
2022-08-12 08:00:00+00:00,14.423,14.439,14.203,14.312,42527
2022-08-12 12:00:00+00:00,14.309,14.402,14.281,14.302,29790
2022-08-15 04:00:00+00:00,14.36,14.576,14.319,14.447,25570
2022-08-15 08:00:00+00:00,14.45,14.51,14.318,14.336,51514
2022-08-15 12:00:00+00:00,14.348,14.58,14.336,14.58,31792
2022-08-16 04:00:00+00:00,14.27,14.58,14.15,14.556000000000001,61976
2022-08-16 08:00:00+00:00,14.557,14.575,14.41,14.478,55020
2022-08-16 12:00:00+00:00,14.478,14.8,14.469,14.8,66479
2022-08-17 04:00:00+00:00,14.81,15.06,14.736,14.939,100592
2022-08-17 08:00:00+00:00,14.95,15.0,14.45,14.577,115825
2022-08-17 12:00:00+00:00,14.568,14.85,14.5,14.507,51402
2022-08-18 04:00:00+00:00,14.565,14.627,14.333,14.502,41156
2022-08-18 08:00:00+00:00,14.509,14.552,14.36,14.511,34491
2022-08-18 12:00:00+00:00,14.511,14.53,14.23,14.446,43464
2022-08-19 04:00:00+00:00,14.447,14.447,14.12,14.17,31788
2022-08-19 08:00:00+00:00,14.17,14.247,14.137,14.195,34371
2022-08-19 12:00:00+00:00,14.195,14.288,14.014,14.288,67681
2022-08-22 04:00:00+00:00,14.275,14.33,14.155,14.323,22877
2022-08-22 08:00:00+00:00,14.323,14.489,14.249,14.426,43902
2022-08-22 12:00:00+00:00,14.426,14.469,14.235,14.44,38431
2022-08-23 04:00:00+00:00,14.45,14.625,14.45,14.561,39729
2022-08-23 08:00:00+00:00,14.562,14.576,14.337,14.423,58537
2022-08-23 12:00:00+00:00,14.43,14.88,14.406,14.68,136704
2022-08-24 04:00:00+00:00,14.699,14.699,14.41,14.503,46255
2022-08-24 08:00:00+00:00,14.502,14.548,14.452,14.488,56292
2022-08-24 12:00:00+00:00,14.498,14.5,14.32,14.461,62416
2022-08-25 04:00:00+00:00,14.5,14.68,14.42,14.665,60023
2022-08-25 08:00:00+00:00,14.665,14.678,14.433,14.449,61991
